album,released,name,text
"Fisiognomica
      ",1988,Secondo imbrunire,Quei muri bassi di pietra lavica Arrivano al mare e da qui Ci passava ogni tanto Un bagnante in estate Sciara delle Ginestre esposte al sole Passo ancora il mio tempo A osservare i tramonti E vederli cambiare In Secondo Imbrunire E il cuore Quando si fa sera Muore d'amore Non ci vuole credere Che è meglio Stare soli Cortili e pozzi antichi Tra i melograni Chiese in stile normanno E una vecchia caserma Dei carabinieri Passano gli anni E il tempo delle ragioni Se ne sta andando Per scoprire che non sono Ancora maturo Nel Secondo Imbrunire E il cuore Quando si fa sera Muore d'amore Non si vuol convincere Che è bello Vivere da soli
"Fleurs 2
      ",2008,E più ti amo,"Più vedo te, più ascolto te, e più ti amo Ogni parola che dici, t'amo un pò di più; Parole che sono per te sempre le stesse Ed io lo so che parlerai sempre così Più vedo te, più ascolto te, e più ti amo Ogni parola che dici, t'amo un pò di più Parole che sono per te sempre le stesse Ed io lo so che parlerai sempre così Più vedo te, più ascolto te, e più ti amo Vivo perché tu mi lasci stare vicino a te Perchè se tu mi dici di no, mi fai morire E tu lo sai, la vita sei per me E vedo te, e ascolto te, e t'amo sempre Ogni parola che dici t'amo sempre di più Parole che sono per me sempre diverse Quando sarà la voce tua che le dirà E vedo te, e ascolto te, sempre la stessa Vivo perché tu mi lasci stare vicino a te Perchè per me la vita mia non conta niente è tutto qui quello che ho e lo do a te E non dirai, non dirai mai parole uguali Se parlerà la voce tua per me E non dirai, non dirai mai parole uguali Se parlerà la voce tua per me"
"Il Vuoto
      ",2007,Il Vuoto,Tempo non c'è tempo sempre più in affanno Inseguo il nostro tempo vuoto di senso senso di vuoto E persone quante tante persone un mare di gente nel vuoto Year play rest my way day thing man your world life The hand part my child eye woman cry place work week End your end case point tu sei quello che tu vuoi Government the company my company ma non sai quello che tu sei Number group the problem is in fact Money money…… Danni fisici psicologici collera e paura stress Sindrome da traffico ansia stati emotivi Primordiali malesseri pericoli imminenti E ignoti disturbi sul sesso Venti di profezia parlano di Dei che avanzano Year play……………… Tempo non c'è tempo sempre più in affanno Inseguo il nostro tempo vuoto di senso senso di vuoto Danni fisici psicologici collera e paura stress Sindrome da traffico ansia stati emotivi Primordiali malesseri pericoli imminenti E ignoti disturbi sul sesso Venti di profezia parlano di Dei che avanzano Tu sei quello che tu vuoi ma non sai quello che tu sei End your case point Tu sei quello che tu vuoi Government and company my company ma non sai quello che tu sei Number group the problem is in fact Money money........ Tempo non c'è tempo sempre più in affanno Inseguo il nostro tempo Vuoto di senso senso di vuoto
"Fleurs 3
      ",2002,Le tue radici,Quando sono qui con te Quello che prima valeva per me Non vale più niente Ma quando sono sulla strada da solo Io mi sento sempre un uomo in cerca In cerca delle tue radici In cerca delle mie radici Per crescere insieme E vorrei essere capace Di amare il tuo amore Senza di te Quando mi chiedi cos'è reale Io ti dico solo noi due siamo reali Ma quando sono sulla strada da solo Io mi sento sempre un uomo in cerca In cerca delle tue radici In cerca delle mie radici Per crescere insieme E vorrei essere capace Di amare il tuo amore Senza di te
"Fleurs
      ",1999,Aria di neve,"Sopra le nuvole c'é il sereno Ma il nostro amore non appartiene al cielo Noi siamo qui tra le cose di tutti i giorni I giorni e i giorni grigi Aria di neve sul tuo viso, le mie parole Sono parole amare senza motivo Prima o poi tra le nostre mani Più niente resterà E' una vita impossibile Questa vita insieme a te Tu non ridi non piangi non parli più E non sai dirmi perché Lungo la strada del nostro amore Ho già inventato mille canzoni nuove per i tuoi occhi Più di mille canzoni nuove Che tu non canti mai"
"Echoes of Sufi Dances
      ",1985,Lover's season,"Lover's springtime, lover's season comes and goes And our desires never age with time, come what may This is so For when I think of how I've wasted those moments Lost forever, they'll never never return Lover's springtime, lover's season comes and goes And suddenly you realize, there you are In surprise Ah how many lost occasions we've thrown away Never have regrets, never never say die Still a new enthusiasm Waits to make your heart beat strong Another chance to discover just who you are; And the horizons you lost will return nevermore Lover's springtime, lover's season comes and goes With all it its wagers and its fears, but this time Will it last for long For when I think of how I've wasted those moments Lost forever, they'll never never return Ah how many lost occasions we've thrown away Never have regrets, never never say die Still a new enthusiasm Waits to make your heart beat strong Lover's springtime, lover's season comes and goes And our desires never age With time, come what may This is so"
"Fleurs 3
      ",2002,Se mai,Se mai ti parlassero di me Chi lo sa se in fondo a te Troverai un sorriso per me Anche se c'è da troppo tempo ormai Il silenzio tra di noi Io ti penso ancora sai Se caso mai ti parlassero di me Spero che ricorderai Quello che sono stato per te Anche se hai sofferto quanto me Spero che ti riuscirà di sorridere per me Se mai...
"Fleurs
      ",1999,"Amore che vieni, amore che vai",Quei giorni perduti a rincorrere il vento A chiederci un bacio e volerne altri cento Un giorno qualunque li ricorderai Amore che fuggi da me tornerai Un giorno qualunque li ricorderai Amore che fuggi da me tornerai E tu che con gli occhi di un altro colore Mi dici le stesse parole d'amore Fra un mese fra un anno scordate le avrai Amore che vieni da me fuggirai Tra un mese tra un anno scordate le avrai Amore che vieni da me fuggirai Venuto dal sole o da spiagge gelate Perduto in novembre o col vento d'estate Io t'ho amato sempre non t'ho amato mai Amore che vieni amore che vai Io t'ho amato sempre non t'ho amato mai Amore che vieni amore che vai
"Fleurs 2
      ",2008,Tutto l'universo obbedisce all'amore,"Rara la vita in due fatta di lievi gesti E affetti di giornata, consistenti o no Bisogna muoversi come ospiti pieni di premure Con delicata attenzione per non disturbare... Ed è in certi sguardi Che si vede l’infinito Stridono le auto come bisonti infuriati Le strade sono praterie... Accanto a grattacieli assolati Come possiamo tenere nascosta la nostra intesa Ed è in certi sguardi Che s’intravede l’infinito Tutto l’universo obbedisce all’amore Come puoi tenere nascosto un amore Ed è così Che ci trattiene nelle sue catene Tutto l’universo obbedisce all’amore Come possiamo Tenere nascosta la nostra intesa Ed è in certi sguardi Che si nasconde l’infinito Tutto l’universo obbedisce all'amore Come puoi tenere nascosto un amore Ed è così Che ci trattiene nelle sue catene Tutto l’universo obbedisce all'amore"
"Gilgamesh
      ",1992,Siduri,"[Parlato - Siduri] Forse quest'uomo è un'assassino. Come osa entrare nel giardino degli dèi? Gilgamesh, sei irriconoscibile: come sono smunte le tue gote, come è infelice il tuo cuore! Esausto e pieno di dolore è il tuo aspetto. Il fato dei mortali che ha raggiunto Enkidu, l'amico amato e pianto per sei giorni e sette notti, non riesci a capire. La tua meta, incontrare Utnapishtìm, l'unico uomo che ha conquistato l'eternità, è ardua, difficile. Nessuno da tempo immemorabile è riuscito ad attraversare le acque letali. Ti voglio aiutare: laggiù c'è Ursahanabi, il barcaiolo di Utnapishtìm. Che gli altri dèi ti proteggano! Cambiategli la veste e pulitelo, poiché in queste condizioni non riuscirebbe mai ad entrare nel regno del lontano."
"Joe Patti's Experimental Group
      ",2014,CERN,"Ti porto con me segunda feira de Lisboa nel mio antico mare nell'Acqua occidentale, nel Mediterraneo affollato di navi e corpi d'ignudi nuotatori. Fanciulli con sguardo da fiere, gli occhi di lince dei Braganza, fissano il Nord. Sognando l'oltremare, come ghirlanda intrecciano una danza. Trago dentro do meu coracao, Todos lugares onde estive: A entrada de Singapura O coral das Maldivas Macao da noite, a uma hora. Segunda - feira de Lisboa, che nome d'incanto! Qui da noi é lunedì. Soltanto."
"Nomadas
      ",1987,Yo quiero verte danzar,"Yo quiero verte danzar Como los zíngaros del desierto Con candelabros encima O como los balineses en días de fiesta Yo quiero verte danzar Como dervishes tourneurs que giran Sobre la espina dorsal Al son de los cascabeles del katakari Y gira todo en torno a la estancia Mientras se danza, danza Y gira todo en torno a la estancia Mientras se danza Y Radio Tirana transmite música balcánica Mientras bailarines búlgaros Descalzos sobre braseros ardientes En Irlanda del Norte, en verbenas de verano La gente anciana que baila A ritmo de siete octavas Y gira todo en torno a la estancia Mientras se danza, danza Y gira todo en torno a la estancia Mientras se danza En el ritmo obsesivo la clave de ritos tribales Reinos de hechizos y de los músicos gitanos rebeldes En la baja Padana en verbenas de verano La gente anciana que baila Viejos valses vieneses"
"Il Vuoto
      ",2007,Aspettando l'estate,L'allegrezza del vento fuga i cattivi pensieri Mentre ogni ombra fugge via le giornate si accorciano La sera i fuochi inondano i dintorni di luce La tristezza non prevale su me Col canto la tengo lontana Le giornate si allungano Sto aspettando l'estate Anche se non ci sei tu sei sempre con me Per antiche abitudini Perchè ti rivedrò dovunque tu sia Aspettando l'estate all'ombra dell'ultimo sole Sospeso tra due alberi a immaginare L'estasi dei momenti d'ozio Voglio riscoprire aspettando l'estate Anche se non ci sei tu sei sempre con me E sono ancora sicuro che io ti rivedrò Dovunque tu sia
"Gilgamesh
      ",1992,Sette Sufi,"[Maestro] A giudicare dall'apparenza, il ramo è l'origine del frutto; ma in realtà, il ramo è venuto all'esistenza in vista del frutto. Se non ci fossero stati un desiderio e una speranza per il frutto, come avrebbe potuto il giardiniere piantare la radice dell'albero? Ecco perché, in realtà, dal frutto è nato l'albero. [Uomo 1] Vi ascolto. [Uomo 2] Durante un mio viaggio alla ricerca del miracoloso, capitai in una zona del nord Africa, dove esiste il monastero senza porte dalle mura alte come l'antica Uruk. Per entrarvi, bisogna attendere che qualcuno decida di calare giù una corda con appesa una cesta; cosa che potrebbe non accadere. Aspettai invano per due giorni, ma la notte successiva mi apparve in sogno un essere trasparente, una pura vibrazione di luce. ""Quando avrai trasceso la condizione dell'uomo"", mi disse, ""sarai condotto in una terra dolcissima che non si può né immaginare né rappresentare: la sua natura è di espandere l'anima nella gioia. E in questo firmamento ciò che è giovane non diventa vecchio, ciò che è nuovo non diventa antico; non si corrompe cosa alcuna né si guasta; nulla muore; nessuna persona desta si addormenta, poiché il sonno è fatto per il riposo e per scacciare il dolore... e in questo luogo non ci sono né sofferenza né dispiacere."" [Donna] Io fui già un tempo giovane e ragazza ed anche pianta ed uccello e muto pesce che salta fuori dal mare. A Murcia, dove ho abitato per sette anni, ebbi come maestro Ibn Arabi, a Lui pace e gloria. Il mondo è fatto di sostanze grossolane e di sostanze sottili; E fa da velo a se stesso, di modo che non può vedere Iddio proprio perché si vede. Dio resta sempre sconosciuto, così all'intuizione come alla contemplazione, poiché l'effimero non ha presa sull'eterno. Non è possibile avvicinare la divinità sì che abbia accesso ai nostri occhi. Non è corredata di umana testa sulle membra, né di piedi, né di agili ginocchia, né di vergogne pelose, ma è Intelletto sacro ed ineffabile, che coi rapidi pensieri per l'Universo intero si squaderna. [Maestro] Giusto [Uomo 3] Negli ultimi tempi, mi sono dedicato con assiduità all'esercizio che Lei ci assegnò l'estate scorsa. Ho preparato un pezzo che ho chiamato, parafrasando il libro di Abul Qasim, ""Luci sulla scienza dei suoni e sui percorsi interni della voce."" Ho delimitato la ricerca alla sola zona del sentimento, sperimentando che il punto che colpisco con una nota all'interno, risuona esattamente nello stesso punto all'esterno di chi ascolta."
"Il Vuoto
      ",2007,Era l'inizio della primavera,La Primavera cominciò un po' di tempo prima E l'erba si vedeva appena e noi stavamo bene Nell'aria mite del mattino le felci ancora chiuse Tu che abbassavi spesso gli occhi e sempre prima di me La Primavera cominciò all'ombra di betulle Come risposta al mio umore Lanciavi un'occhiata era l'inizio tra noi due Piangevo prima di te It was in the early spring The grass was barely showing The stream was flowing the air mild The trees were turning green It was in the early morning Sheperd's pipe as yet was silent The fernes were still tightly furled in the pine wood It was in the early spring In the shade of the birch trees When with a smile you lowered your eyes before me In reply to my love you lowered.... You lowered .... your glance Oh life - oh wood - oh youth Oh sunlight ..and hope La Primavera cominciò un po' di tempo prima E l'erba si vedeva appena e noi stavamo bene
